feature,importance
patient_health_questionnaire_9_feeling_down_depressed_or_hopeless__phq_0200,0.0025107108248781872
how_distressing_were_sensations_past__rls_0610,0.002504761634056098
difficulty_staying_awake_during_the_day_time_frame__slpy_0110,0.00249006705114626
fall_asleep_at_work__map_0400,0.0024724282269512465
"('participants_sex', 'dem_0500')_M",0.002457599369433257
hypnogogic_hallucinations_days_per_week__map_1100,0.0024466261979187408
family_history_of_depression__famhx_0800,0.0024448758403114736
map_index_4_narcolepsy_like_symptoms_score__index_4,0.0024281406890509106
acting_out_dreams_age_of_the_first_episode__par_0530,0.0024112485037889545
patient_health_questionnaire_9_little_interest_or_pleasure_in_doing_things__phq_0100,0.0023713047760996436
sleep_less_soundly_if_skip_dinner__diet_0600,0.0023650634821587684
generalized_anxiety_disorder-7_questionnaire_feeling_afraid_as_if_something_awful_might_happen__gad_0700,0.00235617609061261
patient_health_questionnaire_9_feeling_bad_about_yourself__phq_0600,0.002351533857247236
frequency_of_nightmares_time_frame__par_0710,0.0023256223348830487
genetic_testing_self-reported__mdhx_6900,0.002310928516041261
urge_to_move_legs__rls_0200,0.002286320970362624
eating_impact_on_alertness/wakefulness__diet_0400,0.0022766452528346502
family_history_of_anxiety__famhx_0900,0.0022618480420064056
alcohol_consumption_rarely_or_never__soclhx_0701,0.0022617059790768944
street_or_recreational_drugs_consumption_age_stopped__soclhx_1800,0.0021971745636728273
how_distressing_are_sensations_present__rls_0600,0.0021932579566435106
"('participants_sex', 'dem_0500')_F",0.002184108148043744
"('irregular_schedule', 'sched_9910')_<NA>",0.002173107417198804
street_or_recreational_drugs_consumption_age_started__soclhx_1700,0.002137458206289687
tonsillectomy_or_adenoidectomy_self-reported__mdhx_5910,0.002131610488698827
functional_outcomes_of_sleep_relationships_with_family_or_friends_affected__fosq_0600,0.0021226965545783683
sleep_attacks_time_frame__slpy_0210,0.0021132278470746223
pain_or_fatigue_self-reported__mdhx_6500,0.00211301674685044
family_history_of_sleep_apnea__famhx_0200,0.0020950122428179617
perform_activities_without_awareness_when_sleepy_time_frame__slpy_0310,0.0020876516111392853
street_or_recreational_drugs_consumption_ever__soclhx_1500,0.002056552906556558
epworth_sleepiness_scale_chance_of_dozing_while_in_a_car_while_stopped_for_a_few_minutes_in_traffic__ess_0800,0.0020469615217309713
sleep_paralysis_frequency_score__narc_1900,0.0020436187021267865
hypertension_self-reported__mdhx_5700,0.0020219017064550936
frequency_of_acting_out_dreams_times__par_0500,0.0020032614743196826
hypercholesterolemia_self-reported__mdhx_6300,0.0019968193870850883
allergies_or_sinus_problems_self-reported__mdhx_5900,0.0019847628278812156
last_use_tv_or_computer_before_bed__bthbts_0300,0.001964404225424794
fall_asleep_driving__map_0900,0.001946948709760097
"('irregular_schedule', 'sched_9910')_False",0.001940293478232527
difficulty_falling_asleep_time_frame__isq_0120,0.0019223068999898619
psychiatric_or_mental_health_problem_self-reported__mdhx_6600,0.001891030627427688
self-perception_of_weight__diet_0700,0.0018335400262946499
exercise_rarely_or_never__soclhx_0501,0.001760395089645142
generalized_anxiety_disorder-7_questionnaire_worrying_too_much_about_different_things__gad_0300,0.0017571233683431765
frequency_of_acting_out_dreams_time_frame__par_0510,0.001753553188347286
difficulty_staying_asleep_time_frame__isq_0220,0.0017081792937425583
hypnogogic_hallucinations_time_frame__map_1120,0.001686134224711648
multiple_awakenings_time_frame__isq_0320,0.0016813125651136656
remember_dreams_time_frame__par_0910,0.0016720911571516382
epworth_sleepiness_scale_chance_of_dozing_while_sitting_and_talking_to_someone__ess_0600,0.0016677265736704649
feeling_that_sleep_is_not_sound_time_frame__isq_0420,0.0016641387029615814
perform_activities_without_awareness_when_sleepy_never__slpy_0301,0.0016560651748285767
medical_problem_or_surgery_other_self-reported__mdhx_6700,0.0016332594426006037
cigarette_smoking_never_smoker__never_cigarette_smoker,0.0015984193971357596
asthma_self-reported__mdhx_5800,0.0015977932808772602
caffeine_consumption_rarely_or_never__soclhx_0901,0.001538261331504894
urologic_or_kidney_problem_self-reported__mdhx_6400,0.0015282568642602135
cigarette_smoking_former_smoker__former_cigarette_smoker,0.001527754889400276
feel_paralyzed_(cataplexy)_days_per_week__map_1000,0.001526260982234979
family_history_of_insomnia__famhx_0100,0.0015161154554645705
family_history_of_restless_leg_syndrome__famhx_0400,0.0014663099277608391
cardiovascular_problem_other_self-reported__mdhx_5720,0.0014601497455142135
patient_health_questionnaire_9_moving_or_speaking_slowly__phq_0800,0.0014276600955554445
family_history_of_psychiatric_treatment__famhx_1100,0.0014201404031736562
frequency_of_leg_twitch/kick_time_frame__par_0110,0.0014006231464553038
